acceleration,deceleration,minGap,lcSpeedGain,lcCooperative,lcPushy,lcStrategic,lcAssertive,PMx
4.0,9.0,1.8,1.6,0.8,0.1,2.2,0.9,26379.74898
5.7,9.0,1.8,1.6,0.8,0.1,2.2,0.9,25908.556581
4.0,8.4,1.8,1.6,0.8,0.1,2.2,0.9,25360.240217
4.0,9.0,1.3,1.6,0.8,0.1,2.2,0.9,25795.593574
4.0,9.0,1.8,5.3,0.8,0.1,2.2,0.9,25119.484554
4.0,9.0,1.8,1.6,0.2,0.1,2.2,0.9,25529.65122
4.0,9.0,1.8,1.6,0.8,0.3,2.2,0.9,26259.182254
4.0,9.0,1.8,1.6,0.8,0.1,3.0,0.9,25940.615077000002
4.0,9.0,1.8,1.6,0.8,0.1,2.2,0.3,25824.821134
4.0,8.4,1.3,5.3,0.2,0.3,3.0,0.3,18058.966335999998
5.7,9.0,1.3,5.3,0.2,0.3,3.0,0.3,17986.365599999997
5.7,8.4,1.8,5.3,0.2,0.3,3.0,0.3,21113.372019000002
5.7,8.4,1.3,1.6,0.2,0.3,3.0,0.3,21301.008973
5.7,8.4,1.3,5.3,0.8,0.3,3.0,0.3,25811.132256999997
5.7,8.4,1.3,5.3,0.2,0.1,3.0,0.3,22942.805569999997
5.7,8.4,1.3,5.3,0.2,0.3,2.2,0.3,17685.847445
5.7,8.4,1.3,5.3,0.2,0.3,3.0,0.9,25169.211323
5.7,8.4,1.3,5.3,0.2,0.3,3.0,0.3,25859.116477
7.0,12.0,0.7,4.2,0.3,0.6,5.1,2.1,26455.093493
8.7,12.0,0.7,4.2,0.3,0.6,5.1,2.1,27132.361355
7.0,11.4,0.7,4.2,0.3,0.6,5.1,2.1,26111.580349999997
7.0,12.0,2.4,4.2,0.3,0.6,5.1,2.1,26759.596027
7.0,12.0,0.7,2.6,0.3,0.6,5.1,2.1,26797.548614
7.0,12.0,0.7,4.2,0.7,0.6,5.1,2.1,25976.813003
7.0,12.0,0.7,4.2,0.3,0.8,5.1,2.1,26731.096733
7.0,12.0,0.7,4.2,0.3,0.6,0.1,2.1,25845.881573
7.0,12.0,0.7,4.2,0.3,0.6,5.1,1.6,20592.341286
7.0,11.4,2.4,2.6,0.7,0.8,0.1,1.6,26209.671485
8.7,12.0,2.4,2.6,0.7,0.8,0.1,1.6,27014.594338
8.7,11.4,0.7,2.6,0.7,0.8,0.1,1.6,26781.163729
8.7,11.4,2.4,4.2,0.7,0.8,0.1,1.6,26942.990863
8.7,11.4,2.4,2.6,0.3,0.8,0.1,1.6,27264.714946
8.7,11.4,2.4,2.6,0.7,0.6,0.1,1.6,26785.603735999997
8.7,11.4,2.4,2.6,0.7,0.8,5.1,1.6,27045.328754
8.7,11.4,2.4,2.6,0.7,0.8,0.1,2.1,27252.079759
8.7,11.4,2.4,2.6,0.7,0.8,0.1,1.6,27222.534288
8.5,7.5,2.3,0.2,0.0,0.9,0.7,1.5,26357.360206
7.2,7.5,2.3,0.2,0.0,0.9,0.7,1.5,24653.94223
8.5,9.9,2.3,0.2,0.0,0.9,0.7,1.5,24250.449550999998
8.5,7.5,1.9,0.2,0.0,0.9,0.7,1.5,27026.901348
8.5,7.5,2.3,1.3,0.0,0.9,0.7,1.5,26798.942619
8.5,7.5,2.3,0.2,0.5,0.9,0.7,1.5,27012.323829
8.5,7.5,2.3,0.2,0.0,0.1,0.7,1.5,23563.918231000003
8.5,7.5,2.3,0.2,0.0,0.9,1.6,1.5,27193.844321
8.5,7.5,2.3,0.2,0.0,0.9,0.7,0.9,18537.461255
8.5,9.9,1.9,1.3,0.5,0.1,1.6,0.9,26978.368973
7.2,7.5,1.9,1.3,0.5,0.1,1.6,0.9,21106.716749
7.2,9.9,2.3,1.3,0.5,0.1,1.6,0.9,24839.898273
7.2,9.9,1.9,0.2,0.5,0.1,1.6,0.9,26740.178400999997
7.2,9.9,1.9,1.3,0.0,0.1,1.6,0.9,26072.543531000003
7.2,9.9,1.9,1.3,0.5,0.9,1.6,0.9,25701.607965000003
7.2,9.9,1.9,1.3,0.5,0.1,0.7,0.9,26194.844538999998
7.2,9.9,1.9,1.3,0.5,0.1,1.6,1.5,26079.643038000002
7.2,9.9,1.9,1.3,0.5,0.1,1.6,0.9,26452.676202000002
5.5,10.5,1.2,2.9,0.5,0.4,3.6,0.3,26228.803235
4.2,10.5,1.2,2.9,0.5,0.4,3.6,0.3,26418.20665
5.5,6.9,1.2,2.9,0.5,0.4,3.6,0.3,26172.631169
5.5,10.5,0.8,2.9,0.5,0.4,3.6,0.3,22826.754905
5.5,10.5,1.2,4.0,0.5,0.4,3.6,0.3,25962.913701999998
5.5,10.5,1.2,2.9,1.0,0.4,3.6,0.3,26045.508197
