acceleration,deceleration,minGap,lcSpeedGain,lcCooperative,lcPushy,lcStrategic,lcAssertive,PMx
4.035,8.988,1.791,1.563,0.779,0.107,2.155,0.894,26379.74898
5.723,8.988,1.791,1.563,0.779,0.107,2.155,0.894,25908.556581
4.035,8.449,1.791,1.563,0.779,0.107,2.155,0.894,25360.240217
4.035,8.988,1.301,1.563,0.779,0.107,2.155,0.894,25795.593574
4.035,8.988,1.791,5.29,0.779,0.107,2.155,0.894,25119.484554
4.035,8.988,1.791,1.563,0.236,0.107,2.155,0.894,25529.65122
4.035,8.988,1.791,1.563,0.779,0.322,2.155,0.894,26259.182254
4.035,8.988,1.791,1.563,0.779,0.107,3.031,0.894,25940.615077000002
4.035,8.988,1.791,1.563,0.779,0.107,2.155,0.317,25824.821134
4.035,8.449,1.301,5.29,0.236,0.322,3.031,0.317,18058.966335999998
5.723,8.988,1.301,5.29,0.236,0.322,3.031,0.317,17986.365599999997
5.723,8.449,1.791,5.29,0.236,0.322,3.031,0.317,21113.372019000002
5.723,8.449,1.301,1.563,0.236,0.322,3.031,0.317,21301.008973
5.723,8.449,1.301,5.29,0.779,0.322,3.031,0.317,25811.132256999997
5.723,8.449,1.301,5.29,0.236,0.107,3.031,0.317,22942.805569999997
5.723,8.449,1.301,5.29,0.236,0.322,2.155,0.317,17685.847445
5.723,8.449,1.301,5.29,0.236,0.322,3.031,0.894,25169.211323
5.723,8.449,1.301,5.29,0.236,0.322,3.031,0.317,25859.116477
7.035,11.988,0.691,4.213,0.279,0.607,5.105,2.144,26455.093493
8.723,11.988,0.691,4.213,0.279,0.607,5.105,2.144,27132.361355
7.035,11.449,0.691,4.213,0.279,0.607,5.105,2.144,26111.580349999997
7.035,11.988,2.401,4.213,0.279,0.607,5.105,2.144,26759.596027
7.035,11.988,0.691,2.64,0.279,0.607,5.105,2.144,26797.548614
7.035,11.988,0.691,4.213,0.736,0.607,5.105,2.144,25976.813003
7.035,11.988,0.691,4.213,0.279,0.822,5.105,2.144,26731.096733
7.035,11.988,0.691,4.213,0.279,0.607,0.081,2.144,25845.881573
7.035,11.988,0.691,4.213,0.279,0.607,5.105,1.567,20592.341286
7.035,11.449,2.401,2.64,0.736,0.822,0.081,1.567,26209.671485
8.723,11.988,2.401,2.64,0.736,0.822,0.081,1.567,27014.594338
8.723,11.449,0.691,2.64,0.736,0.822,0.081,1.567,26781.163729
